id,alt_type,attack,card_bonus,number,command,cost,errata_text,faction,hit_points,keywords,loyalty,name,resource_bonus,shields,text,traits,type,unique,copies,cycle,designer,octgn_id,set,signature_id,starting_cards,starting_resources,planet_material,planet_stronghold,planet_tech,sector,tts_card_key,tts_sheet_id,tts_sheet_position,flavour_text
1,,3,,1,1,3,,Space Marine,3,Deep Strike (2).,,8th Company Assault Squad,,,"Reaction: After you Deep Strike this unit, ready a target [Space Marine] unit at this planet.",Soldier. Dark Angels.,Army,,,Deathworld Cycle,FFG,a9dfaf75-3f9b-4e9b-ab3a-3f082f53bbd0,Jungles of Nectavus,,,,,,,,,,,
2,,,,2,,2,,Space Marine,,Deep Strike (0).,Loyal,Valkyris Pattern Jump Pack,,2,Attach to an army unit you control. Attached unit gains Flying.,Wargear.,Attachment,,,Deathworld Cycle,FFG,84dc8aff-702d-4aa4-88ce-770fcff4d28f,Jungles of Nectavus,,,,,,,,,,,
3,,1,,3,1,2,,Astra Militarum,3,,,Vostroyan Officer,,,Each Elite unit you control at this planet gains Immune to enemy events.,Soldier. Vostroya.,Army,,,Deathworld Cycle,FFG,6895fc0f-740f-4ea3-952b-eda7a649509a,Jungles of Nectavus,,,,,,,,,,,
4,,3,,4,2,5,,Astra Militarum,4,Deep Strike (3). Ranged.,,Scion Strike Force,,,,Soldier. Elite.,Army,,,Deathworld Cycle,FFG,a4bd4b95-5471-40e9-bb8a-bedbee460a31,Jungles of Nectavus,,,,,,,,,,,
5,,,,5,,1,,Astra Militarum,,,,No Surprises,,1,Deploy Action: Destroy a target card in reserve.,Tactic.,Event,,,Deathworld Cycle,FFG,a745234d-a8ae-4bd2-ab91-9e36f1ef2392,Jungles of Nectavus,,,,,,,,,,,
6,,3,,6,2,5,,Ork,5,No Wargear attachments.,Loyal,Blitza-Bommer,,,"While this unit is ready it gains Flying. Reaction: After this unit readies, have your opponent deal 4 indirect damage among units they control at this planet.",Vehicle. Elite.,Army,,,Deathworld Cycle,FFG,dab8b2a7-98f6-46c2-82c0-4d31d55df302,Jungles of Nectavus,,,,,,,,,,,
7,,2,,7,,3,,Ork,3,Ambush.,,Kommando Sneakaz,,,"Reaction:After you deploy this unit, ready a target [Ork] unit you control at this planet and deal it 1 damage.",Soldier.,Army,,,Deathworld Cycle,FFG,38323a93-5c17-4fed-ae0a-7b637ee98d5e,Jungles of Nectavus,,,,,,,,,,,
8,,4,,8,1,5,,Chaos,4,Deep Strike (3).,,Sathariel the Invokator,,,"Reaction: After a combat round at this planet begins, return a [Chaos] Power event from your discard pile to your hand.",Psyker. Fallen. Elite.,Army,yes,,Deathworld Cycle,FFG,3df54210-2370-489a-8988-87bf95e3021d,Jungles of Nectavus,,,,,,,,,,,
9,,,,9,,,,Chaos,,Deep Strike (1).,Loyal,The Prince's Might,,2,"Reaction: After you Deep Strike this event, Daemon units at this planet cannot be damaged by units with cost 2 or lower until the end of the phase.",Tactic.,Event,,,Deathworld Cycle,FFG,dfcf0634-f812-408b-9f8b-2ddfcd8cf0f3,Jungles of Nectavus,,,,,,,,,,,
10,,1,,10,1,2,,Dark Eldar,3,,,Supplicant of Pain,,,Each Elite unit you control at this planet gains Armorbane while attacking a damaged enemy unit.,Creature. Abomination.,Army,,,Deathworld Cycle,FFG,3c0ea374-2768-41d6-b9ae-262c4b602343,Jungles of Nectavus,,,,,,,,,,,
11,,,,11,,1,,Dark Eldar,,,,Hunting Grounds,,,Action: Exhaust this support and sacrifice a Khymera token to ready a Creature army unit you control.,Location.,Support,,,Deathworld Cycle,FFG,01cd5a15-da28-4356-9f32-a40a32158f90,Jungles of Nectavus,,,,,,,,,,,
12,,2,,12,1,3,,Eldar,4,,,Seer Adept,,,"Reaction: After the command phase begins, look at a card your opponent controls in reserve.",Psyker.,Army,,,Deathworld Cycle,FFG,0f8b7eef-93b5-416c-93ac-f183c3cee577,Jungles of Nectavus,,,,,,,,,,,
13,,3,,13,,3,,Eldar,3,,,Furious Wraithblade,,,"Reaction: After this unit resolves an attack, ready it. (Limit once per phase.)",Drone. Spirit.,Army,,,Deathworld Cycle,FFG,592e28d4-d058-4661-bec8-a52176d90027,Jungles of Nectavus,,,,,,,,,,,
14,,,,14,,1,,Eldar,,Deep Strike (0).,,Hidden Strike Chainsword,,1,"Attach to an army unit you control. While attacking a non-Warlord unit, attached unit gets +2 ATK.",Wargear. Weapon.,Attachment,,,Deathworld Cycle,FFG,97ea548b-356b-4284-9f06-5fba6dad4703,Jungles of Nectavus,,,,,,,,,,,
15,,2,,15,1,3,,Tau,3,,,Kroot Guerrilla,,,"Reaction: After a battle at this planet begins, gain 1[Resource].",Warrior. Kroot.,Army,,,Deathworld Cycle,FFG,9bc92242-679c-486d-9721-fdf75f47bb52,Jungles of Nectavus,,,,,,,,,,,
16,,4,,16,1,4,,Tau,4,,,XV8-05 Enforcer,,,"Reaction: After damage from an attack by this unit has been assigned, reassign any amount of that damage to another enemy unit at this planet. (Limit once per attack.)",Soldier. Pilot.,Army,,,Deathworld Cycle,FFG,62dcadf7-e0cb-4326-a636-8ba6e8d2eb4d,Jungles of Nectavus,,,,,,,,,,,
17,,1,,17,1,,,Tyranid,5,,,Keening Maleceptor,,,Combat Action: Remove an infestation token from this planet to trigger its Battle ability. (Limit once per phase.),Creature. Leviathan. Elite.,Synapse,yes,,Deathworld Cycle,FFG,b11b9293-e126-496e-b586-3c115d123fe1,Jungles of Nectavus,,,,,,,,,,,
18,,1,,18,,1,,Tyranid,2,,,Crush of Sky-Slashers,,,"Reaction: After a combat round begins at this planet, deal 1 damage to a target enemy unit at this planet with printed cost 2 or lower.",Creature.,Army,,,Deathworld Cycle,FFG,e36da161-f633-41c4-b201-65defa0e8a8f,Jungles of Nectavus,,,,,,,,,,,
19,,1,,19,1,2,,Necron,3,,,Immortal Loyalist,,,"Each Elite unit you control at this planet gains, 'Interrupt: When this unit is targeted by a triggered effect for the first time this round, cancel that effect.'",Soldier.,Army,,,Deathworld Cycle,FFG,aceaa489-43cd-47d5-893a-0410e746239a,Jungles of Nectavus,,,,,,,,,,,
20,,,,20,,2,,Necron,,,,Shroud Cruiser,,,Action: Exhaust this support to move an Elite unit you control to an adjacent planet.,Upgrade.,Support,,,Deathworld Cycle,FFG,efbd8bf0-caf4-4943-968c-b8b17536ab02,Jungles of Nectavus,,,,,,,,,,,
21,bloodied,2,,21,,,,Space Marine,6,Bloodied.,Signature,Epistolary Vezuel,,,,Psyker. Dark Angels.,Warlord,yes,,Deathworld Cycle,FFG,,Unforgiven,,,,,,,,,,,
22,,2,,21,,,,Space Marine,6,,Signature,Epistolary Vezuel,,,"Reaction: After you Deep Strike a card, draw 1 card.",Psyker. Dark Angels.,Warlord,yes,,Deathworld Cycle,FFG,c6246def-fb93-410d-afa2-d3762c75052b,Unforgiven,27,7,7,,,,,,,,
23,,2,,22,1,3,,Space Marine,2,Deep Strike (1).,Signature,Vezuel's Hunters,,,"Reaction: After you Deep Strike this unit, deal 2 damage to a target enemy army unit at this planet.",Soldier. Dark Angels.,Army,,4,Deathworld Cycle,FFG,598ed427-395a-4f31-a390-647f8404a31c,Unforgiven,27,,,,,,,,,,
24,,,,23,,0,,Space Marine,,,Signature,Dark Angels Cruiser,,,Deploy Action: Exhaust this support to put a target unit you control at a planet in reserve.,Upgrade. Dark Angels.,Support,,1,Deathworld Cycle,FFG,b028e5df-6671-4797-8277-9a2251a9e27a,Unforgiven,27,,,,,,,,,,
25,,,,24,,,,Space Marine,,Deep Strike (1).,Signature,Unseen Strike,,1,"Reaction: After you Deep Strike this event, you gain the initiative in this battle.",Tactic.,Event,,2,Deathworld Cycle,FFG,9fa6b110-bcd4-46f9-a229-d37b4d2a5675,Unforgiven,27,,,,,,,,,,
26,,,,25,,1,,Space Marine,,,Signature,Fulgaris,,3,"Attach to your warlord. Reaction: After you Deep Strike a card, attached unit gets +1 ATK and +1 HP until the end of the phase.",Wargear. Weapon.,Attachment,yes,1,Deathworld Cycle,FFG,18e48f0b-c6c7-47bc-ae61-b74f23c64dcb,Unforgiven,27,,,,,,,,,,
27,,3,,26,2,4,,Astra Militarum,4,,Loyal,Firstborn Battalion,,,While you control 3 or more support cards this unit gains Mobile and Ranged.,Soldier. Vostroya.,Army,,,Deathworld Cycle,FFG,9ec84476-5317-4ce7-a8d7-16bcfaedb990,Unforgiven,,,,,,,,,,,
28,,,,27,,1,,Astra Militarum,,,,Clearcut Refuge,,,Action: Exhaust this support to give a target unit +X HP until the end of the phase. X is the highest printed cost among units you control.,Location.,Support,yes,,Deathworld Cycle,FFG,91a4f98e-5bce-46f8-a76d-4f61d53e52ef,Unforgiven,,,,,,,,,,,
29,,4,,28,,4,,Ork,5,,Loyal,Gorgul da Slaya,,,"Interrupt: When a unit you control at this planet is declared as an attacker, your opponent cannot trigger effects until after that attack resolves.",Soldier. Nob.,Army,yes,,Deathworld Cycle,FFG,2bcda7c9-e099-450b-a842-7f9097f1c42a,Unforgiven,,,,,,,,,,,
30,,,,29,,2,,Ork,,,Loyal,Great Iron Gob,,2,Attach to an [Ork] army unit you control. Attached unit gains the Nob trait. Each army unit you control at this planet gains a command icon.,Wargear.,Attachment,,,Deathworld Cycle,FFG,f96feed6-d36f-45f4-a8a2-c573de64e58a,Unforgiven,,,,,,,,,,,
31,,2,,30,,1,,Chaos,1,Armorbane.,,Infectious Nurgling,,,,Daemon. Nurgle.,Army,,,Deathworld Cycle,FFG,34e267af-1d29-42b9-8962-540b4d33ed42,Unforgiven,,,,,,,,,,,
32,,4,,31,2,5,,Chaos,5,No Wargear attachments.,,Seekers of Slaanesh,,,Action: Sacrifice a Cultist unit at this planet to draw 1 card.,Daemon. Slaanesh. Elite.,Army,,,Deathworld Cycle,FFG,aa353116-fe0f-4c58-a233-7200c3d2f64d,Unforgiven,,,,,,,,,,,
33,,,,32,,0,,Chaos,,,,Mark of Slaanesh,,1,"Attach to an army unit. Interrupt: When attached unit leaves play, move an army unit you control to this planet.",Curse. Slaanesh.,Attachment,,,Deathworld Cycle,FFG,7df8c999-ea39-4b09-9758-e9fff293fbe2,Unforgiven,,,,,,,,,,,
34,,2,,33,1,3,,Dark Eldar,2,Deep Strike (1).,,Mandrake Cutthroat,,,"Reaction: After you Deep Strike this unit, destroy a target Ally unit at this planet.",Warrior.,Army,,,Deathworld Cycle,FFG,9e4645a7-1001-4076-a312-ddec0330cdc5,Unforgiven,,,,,,,,,,,
35,,,,34,,1,,Dark Eldar,,,Loyal,A Thousand Cuts,,2,"Combat Action: Deal 1 damage to a target non- Elite army unit. Then, shuffle this card back into your deck.",Tactic. Torture.,Event,,,Deathworld Cycle,FFG,e1e80620-4fcc-4350-b21f-6a5ccea55d53,Unforgiven,,,,,,,,,,,
36,,1,,35,,2,,Eldar,3,,,Adherent Outcast,,,Each Elite unit you control at this planet gains Flying.,Scout.,Army,,,Deathworld Cycle,FFG,273e11a7-fce2-4410-a496-4bd0c8afb053,Unforgiven,,,,,,,,,,,
37,,,,36,,,,Eldar,,Deep Strike (1).,,Concealing Darkness,,1,"Reaction: After you Deep Strike this event, you may deploy each [Eldar] unit in your hand at this planet as though it had Ambush until the end of the phase.",Power.,Event,,,Deathworld Cycle,FFG,4d47bbe8-9ab6-444d-bad1-09da4179c880,Unforgiven,,,,,,,,,,,
38,,0,,37,,1,,Tau,4,,,Grav Inhibitor Drone,,,Each unit with printed cost 2 or lower at this planet cannot attack while a unit with printed cost 3 or higher at this planet is ready.,Drone.,Army,,,Deathworld Cycle,FFG,c5767c4c-fc0b-4295-8ebe-d6d78d531edd,Unforgiven,,,,,,,,,,,
39,,,,38,,2,,Tau,,,,Missile Pod,,1,Attach to a Pilot or Vehicle unit you control. Deploy Action: Sacrifice this attachment to deal 3 damage to a target enemy army unit in your opponent's HQ or destroy a target support card.,Hardpoint.,Attachment,,,Deathworld Cycle,FFG,bbbf0f5a-536a-4b93-b193-c6e5901d8ba8,Unforgiven,,,,,,,,,,,
40,,4,,39,3,5,,Tyranid,4,,,Caustic Tyrannofex,,,"Reaction: After you win a command struggle at this planet, until the end of the round, this unit gains 'Hive Mind - Each Termagant token you control at this planet gains Armorbane.'",Creature. Leviathan. Elite.,Army,,,Deathworld Cycle,FFG,108f7fec-af28-410b-b2af-34492fb04eab,Unforgiven,,,,,,,,,,,
41,,,,40,,1,,Tyranid,,,,Loamy Broodhive,,,"Reaction: After you deploy an Elite unit, exhaust this support to put 2 Termagant tokens into play at the same planet as that unit.",Location.,Support,,,Deathworld Cycle,FFG,44a30a51-e551-4926-80af-501375eed61d,Unforgiven,,,,,,,,,,,
42,,1,,41,,3,,Necron,3,,,Hunting Acanthrites,,,Each unit with printed cost 2 or lower at this planet gets -1 HP.,Drone.,Army,,,Deathworld Cycle,FFG,1c3eed2a-2491-4a23-a277-7bdbbe3fbee0,Unforgiven,,,,,,,,,,,
43,,,,42,,,,Necron,,Deep Strike (2).,,Defensive Protocols,,1,"Reaction: After you Deep Strike this event, until the end of this battle's first combat round, reduce all damage taken by [Necron] units you control to 1.",Tactic.,Event,,,Deathworld Cycle,FFG,31299031-d00f-43c0-b346-545c0de2d9ba,Unforgiven,,,,,,,,,,,
44,bloodied,1,,43,,,,Astra Militarum,6,Bloodied.,Signature,Grigory Maksim,,,,Soldier. Vostroya.,Warlord,yes,,Deathworld Cycle,FFG,,Slash and Burn,,,,,,,,,,,
45,,1,,43,,,,Astra Militarum,7,,Signature,Grigory Maksim,,,"While a unit you control is being dealt damage, support cards in your hand may be used as shield cards with 1 shield icon. If the shielded card is a Tank, that support card has 2 shield icons instead.",Soldier. Vostroya.,Warlord,yes,,Deathworld Cycle,FFG,1053920b-28b4-4270-baef-fb8c5a81f52a,Slash and Burn,28,7,7,,,,,,,,
46,,2,,44,1,3,,Astra Militarum,3,No Wargear Attachments.,Signature,Maksim's Squadron,,,"Interrupt: When you use a shield card to prevent this unit from taking damage, that card gains 1 shield icon.",Vehicle. Tank. Vostroya.,Army,,4,Deathworld Cycle,FFG,deb03329-2600-4d03-a7f0-36764668ce85,Slash and Burn,28,,,,,,,,,,
47,,,,45,,2,,Astra Militarum,,,Signature,Clearing the Path,,,"Reaction: After you win a battle at a planet with your warlord, put an [Astra Militarum] support card from your discard pile into play at your HQ.",Stratagem.,Support,,1,Deathworld Cycle,FFG,feb5074c-5424-4865-9e3c-72d518bbcb6a,Slash and Burn,28,,,,,,,,,,
48,,,,46,,1,,Astra Militarum,,,Signature,Keep Firing!,,1,Combat Action: Ready a target Tank unit you control.,Tactic.,Event,,2,Deathworld Cycle,FFG,2aa04606-e4a8-44f5-9a60-b1239cccc165,Slash and Burn,28,,,,,,,,,,
49,,,,47,,1,,Astra Militarum,,,Signature,Searchlight,,3,Attach to a Vehicle unit you control. Attached unit gains 1 command icon. Action: Exhaust your warlord to move attached unit to another planet.,Hardpoint.,Attachment,,1,Deathworld Cycle,FFG,8509547c-238b-43d0-a474-517ed79867c0,Slash and Burn,28,,,,,,,,,,
50,,2,,48,2,4,,Space Marine,5,Area Effect (1).,,Salamander Flamer Squad,,,"Reaction: After this unit readies, deal 1 damage to each enemy unit damaged by this unit this phase.",Soldier. Salamanders.,Army,,,Deathworld Cycle,FFG,82f56c01-8152-4cfe-9cd3-5f629606863e,Slash and Burn,,,,,,,,,,,
51,,1,,49,1,2,,Space Marine,3,,,Techmarine Aspirant,,,"Each Elite unit you control at this planet gains, 'Action: Pay 1[Resource] to ready this unit. (Limit once per round.)'",Soldier. Dark Angels,Army,,,Deathworld Cycle,FFG,3ed59290-f31c-410b-acb2-d362f0e74ee3,Slash and Burn,,,,,,,,,,,
52,,,,50,,1,,Space Marine,,,,Deathstorm Drop Pod,,,"Reaction: After you Deep Strike a card, deal 1 damage to an enemy army unit at the same planet as that card.",Upgrade. Artillery.,Support,,,Deathworld Cycle,FFG,a7184688-611e-4f3e-998d-a83f378ebbc7,Slash and Burn,,,,,,,,,,,
53,,5,,51,,6,,Ork,9,No Attachments. Brutal.,,Squiggoth Brute,,,"Reaction: After the combat phase begins, each enemy army unit at this planet loses all keywords until the end of the phase.",Creature. Elite.,Army,,,Deathworld Cycle,FFG,2c4cdd4b-c28f-474f-ad0a-8142625439be,Slash and Burn,,,,,,,,,,,
54,,,,52,,2,,Ork,,,,Brutal Cunning,,1,Action: Move up to 2 damage from a target [Ork] unit you control to a target non-Elite army unit at the same planet.,Tactic.,Event,,,Deathworld Cycle,FFG,1c955e97-1431-43dd-8059-85f6f91bd66e,Slash and Burn,,,,,,,,,,,
55,,1,,53,1,2,,Chaos,3,,,Disciple of Excess,,,Each Elite unit you control at this planet gains 'Cannot be routed or exhausted by card effects.',Cultist. Slaanesh.,Army,,,Deathworld Cycle,FFG,c4f29bad-5ad3-4b5e-a34f-30e3bb9aee1d,Slash and Burn,,,,,,,,,,,
56,,,,54,,1,,Chaos,,,,Blood Rain Tempest,,,"Reaction: After the combat phase begins, sacrifice this support to reverse the order in which planets are checked for battles. (Start with the last planet and finish with the first planet.)",Upgrade.,Support,,,Deathworld Cycle,FFG,4a98bf33-562b-47fc-aafe-0a2cffdd853a,Slash and Burn,,,,,,,,,,,
57,,6,,55,3,7,,Dark Eldar,7,No Attachments.,,Corrupted Clawed fiend,,,"Reaction: After a unit with printed cost 2 or lower deals damage to this unit by an attack, rout that unit.",Creature. Elite.,Army,,,Deathworld Cycle,FFG,f54811a6-4dd2-4a8c-b8cb-1a152e0e3374,Slash and Burn,,,,,,,,,,,
58,,,,56,,1,,Dark Eldar,,,,Electrocorrosive Whip,,1,Attach to an army unit you control. Each non-Elite army unit dealt damage by attached unit's attack cannot ready this phase.,Wargear. Weapon.,Attachment,,,Deathworld Cycle,FFG,19c70cee-3bdc-49f3-a861-530e35b42c56,Slash and Burn,,,,,,,,,,,
